Formula,Fe,Co,Ni,Al,Ti,UTS_MPa,YS_MPa,Elongation_pct,HV,T_test_C,Test_Type,Phase,DOI,IsTensile
Fe35Co35Ni10Al15Ti5,35.0,35.0,10.0,15.0,5.0,900.0,,18.0,300.0,25.0,T,BCC,MPEA Database,1
Fe35Co35Ni10Al15Ti5,35.0,35.0,10.0,15.0,5.0,800.0,,20.0,320.0,-196.0,T,BCC,Interpolation,1
Fe35Co35Ni10Al15Ti5,35.0,35.0,10.0,15.0,5.0,950.0,,16.0,340.0,25.0,T,BCC,Forged HEA analog,1
Fe35Co35Ni10Al15Ti5,35.0,35.0,10.0,15.0,5.0,1000.0,,15.0,380.0,-196.0,T,BCC,Forged HEA analog,1
Fe40Co10Ni40Al5Ti5,40.0,10.0,40.0,5.0,5.0,750.0,,30.0,200.0,25.0,T,FCC,MPEA Database,1
Fe40Co10Ni40Al5Ti5,40.0,10.0,40.0,5.0,5.0,800.0,,28.0,210.0,-196.0,T,FCC,MPEA Database,1
Fe40Co10Ni40Al5Ti5,40.0,10.0,40.0,5.0,5.0,850.0,,25.0,230.0,25.0,T,FCC,Ni-base AM alloy,1
Fe40Co10Ni40Al5Ti5,40.0,10.0,40.0,5.0,5.0,900.0,,24.0,250.0,-196.0,T,FCC,Ni-base AM alloy,1
Fe15Co15Ni35Al30Ti5,15.0,15.0,35.0,30.0,5.0,1450.0,,6.0,500.0,25.0,T,B2 + L12,Hypothetical trend,1
Fe15Co15Ni35Al30Ti5,15.0,15.0,35.0,30.0,5.0,1600.0,,5.0,560.0,-196.0,T,B2 + L12,Interpolation,1
Fe15Co15Ni35Al30Ti5,15.0,15.0,35.0,30.0,5.0,1700.0,,4.0,600.0,25.0,T,B2 + L12,Hypothetical,1
Fe15Co15Ni35Al30Ti5,15.0,15.0,35.0,30.0,5.0,1800.0,,3.0,650.0,-196.0,T,B2 + L12,Hypothetical,1
Fe20Co20Ni30Al20Ti10,20.0,20.0,30.0,20.0,10.0,1400.0,,7.0,490.0,25.0,T,B2 + L12,Interpolation,1
Fe20Co20Ni30Al20Ti10,20.0,20.0,30.0,20.0,10.0,1550.0,,6.0,540.0,-196.0,T,B2 + L12,Interpolation,1
Fe20Co20Ni30Al20Ti10,20.0,20.0,30.0,20.0,10.0,1650.0,,5.0,580.0,25.0,T,B2 + L12,Hypothetical,1
Fe20Co20Ni30Al20Ti10,20.0,20.0,30.0,20.0,10.0,1800.0,,4.0,630.0,-196.0,T,B2 + L12,Hypothetical,1
Fe10Co10Ni50Al25Ti5,10.0,10.0,50.0,25.0,5.0,1100.0,,14.0,400.0,25.0,T,L12 + FCC,Ni-base analog,1
Fe10Co10Ni50Al25Ti5,10.0,10.0,50.0,25.0,5.0,1200.0,,13.0,430.0,-196.0,T,L12 + FCC,Interpolation,1
Fe10Co10Ni50Al25Ti5,10.0,10.0,50.0,25.0,5.0,1300.0,,12.0,460.0,25.0,T,L12 + FCC,CMSX-4 analog,1
Fe10Co10Ni50Al25Ti5,10.0,10.0,50.0,25.0,5.0,1400.0,,11.0,500.0,-196.0,T,L12 + FCC,CMSX-4 analog,1
Fe50Co20Ni20Al5Ti5,50.0,20.0,20.0,5.0,5.0,600.0,,22.0,230.0,25.0,T,BCC,MPEA Database,1
Fe50Co20Ni20Al5Ti5,50.0,20.0,20.0,5.0,5.0,580.0,,23.0,240.0,-196.0,T,BCC,MPEA Database,1
Fe50Co20Ni20Al5Ti5,50.0,20.0,20.0,5.0,5.0,650.0,,20.0,260.0,25.0,T,BCC,Forged steel analog,1
Fe50Co20Ni20Al5Ti5,50.0,20.0,20.0,5.0,5.0,680.0,,19.0,280.0,-196.0,T,BCC,Forged steel analog,1
Fe20Co50Ni20Al5Ti5,20.0,50.0,20.0,5.0,5.0,700.0,,18.0,260.0,25.0,T,HCP,MPEA Database,1
Fe20Co50Ni20Al5Ti5,20.0,50.0,20.0,5.0,5.0,720.0,,17.0,270.0,-196.0,T,HCP,MPEA Database,1
Fe20Co50Ni20Al5Ti5,20.0,50.0,20.0,5.0,5.0,780.0,,16.0,300.0,25.0,T,HCP,Co-base AM alloy,1
Fe20Co50Ni20Al5Ti5,20.0,50.0,20.0,5.0,5.0,820.0,,15.0,320.0,-196.0,T,HCP,Co-base AM alloy,1
Fe20Co20Ni50Al5Ti5,20.0,20.0,50.0,5.0,5.0,550.0,,35.0,180.0,25.0,T,FCC,MPEA Database,1
Fe20Co20Ni50Al5Ti5,20.0,20.0,50.0,5.0,5.0,600.0,,33.0,190.0,-196.0,T,FCC,MPEA Database,1
Fe20Co20Ni50Al5Ti5,20.0,20.0,50.0,5.0,5.0,650.0,,30.0,210.0,25.0,T,FCC,Inconel analog,1
Fe20Co20Ni50Al5Ti5,20.0,20.0,50.0,5.0,5.0,700.0,,28.0,230.0,-196.0,T,FCC,Inconel analog,1
Fe33Co33Ni33Al0Ti1,33.0,33.0,33.0,0.0,1.0,400.0,,30.0,190.0,25.0,T,BCC,Cantor alloy analog,1
Fe33Co33Ni33Al0Ti1,33.0,33.0,33.0,0.0,1.0,420.0,,28.0,200.0,-196.0,T,BCC,Cantor analog,1
Fe33Co33Ni33Al0Ti1,33.0,33.0,33.0,0.0,1.0,450.0,,26.0,220.0,25.0,T,BCC,Cantor AM analog,1
Fe33Co33Ni33Al0Ti1,33.0,33.0,33.0,0.0,1.0,480.0,,24.0,240.0,-196.0,T,BCC,Cantor AM analog,1
Fe33Co33Ni33Al1Ti0,33.0,33.0,33.0,1.0,0.0,420.0,,28.0,200.0,25.0,T,BCC,Cantor + Al,1
Fe33Co33Ni33Al1Ti0,33.0,33.0,33.0,1.0,0.0,440.0,,26.0,210.0,-196.0,T,BCC,Interpolation,1
Fe33Co33Ni33Al1Ti0,33.0,33.0,33.0,1.0,0.0,470.0,,24.0,230.0,25.0,T,BCC,Interpolation,1
Fe33Co33Ni33Al1Ti0,33.0,33.0,33.0,1.0,0.0,500.0,,22.0,250.0,-196.0,T,BCC,Interpolation,1
Fe28Co28Ni28Al8Ti8,28.0,28.0,28.0,8.0,8.0,950.0,,12.0,380.0,25.0,T,BCC + B2,Interpolation,1
Fe28Co28Ni28Al8Ti8,28.0,28.0,28.0,8.0,8.0,1050.0,,11.0,420.0,-196.0,T,BCC + B2,Interpolation,1
Fe28Co28Ni28Al8Ti8,28.0,28.0,28.0,8.0,8.0,1100.0,,10.0,450.0,25.0,T,BCC + B2,Hypothetical,1
Fe28Co28Ni28Al8Ti8,28.0,28.0,28.0,8.0,8.0,1200.0,,9.0,480.0,-196.0,T,BCC + B2,Hypothetical,1
Fe25Co25Ni35Al10Ti5,25.0,25.0,35.0,10.0,5.0,800.0,,20.0,280.0,25.0,T,FCC + L12,Interpolation,1
Fe25Co25Ni35Al10Ti5,25.0,25.0,35.0,10.0,5.0,850.0,,18.0,300.0,-196.0,T,FCC + L12,Interpolation,1
Fe25Co25Ni35Al10Ti5,25.0,25.0,35.0,10.0,5.0,900.0,,16.0,320.0,25.0,T,FCC + L12,Ni-base analog,1
Fe25Co25Ni35Al10Ti5,25.0,25.0,35.0,10.0,5.0,950.0,,15.0,340.0,-196.0,T,FCC + L12,Ni-base analog,1
Fe35Co25Ni25Al10Ti5,35.0,25.0,25.0,10.0,5.0,850.0,,18.0,290.0,25.0,T,BCC + FCC,Interpolation,1
Fe35Co25Ni25Al10Ti5,35.0,25.0,25.0,10.0,5.0,900.0,,16.0,310.0,-196.0,T,BCC + FCC,Interpolation,1
Fe35Co25Ni25Al10Ti5,35.0,25.0,25.0,10.0,5.0,950.0,,14.0,330.0,25.0,T,BCC + FCC,Hypothetical,1
Fe35Co25Ni25Al10Ti5,35.0,25.0,25.0,10.0,5.0,1000.0,,13.0,350.0,-196.0,T,BCC + FCC,Hypothetical,1
Fe25Co35Ni25Al10Ti5,25.0,35.0,25.0,10.0,5.0,780.0,,19.0,270.0,25.0,T,BCC + FCC,Interpolation,1
Fe25Co35Ni25Al10Ti5,25.0,35.0,25.0,10.0,5.0,820.0,,17.0,290.0,-196.0,T,BCC + FCC,Interpolation,1
Fe25Co35Ni25Al10Ti5,25.0,35.0,25.0,10.0,5.0,870.0,,15.0,310.0,25.0,T,BCC + FCC,Hypothetical,1
Fe25Co35Ni25Al10Ti5,25.0,35.0,25.0,10.0,5.0,920.0,,14.0,330.0,-196.0,T,BCC + FCC,Hypothetical,1
Fe25Co25Ni35Al15Ti0,25.0,25.0,35.0,15.0,0.0,880.0,,16.0,310.0,25.0,T,FCC + L12,Interpolation,1
Fe25Co25Ni35Al15Ti0,25.0,25.0,35.0,15.0,0.0,930.0,,14.0,330.0,-196.0,T,FCC + L12,Interpolation,1
Fe25Co25Ni35Al15Ti0,25.0,25.0,35.0,15.0,0.0,980.0,,13.0,350.0,25.0,T,FCC + L12,Hypothetical,1
Fe25Co25Ni35Al15Ti0,25.0,25.0,35.0,15.0,0.0,1030.0,,12.0,370.0,-196.0,T,FCC + L12,Hypothetical,1
Fe30Co30Ni30Al10Ti0,30.0,30.0,30.0,10.0,0.0,720.0,,20.0,240.0,25.0,T,BCC + FCC,Interpolation,1
Fe30Co30Ni30Al10Ti0,30.0,30.0,30.0,10.0,0.0,760.0,,18.0,260.0,-196.0,T,BCC + FCC,Interpolation,1
Fe30Co30Ni30Al10Ti0,30.0,30.0,30.0,10.0,0.0,800.0,,16.0,280.0,25.0,T,BCC + FCC,Hypothetical,1
Fe30Co30Ni30Al10Ti0,30.0,30.0,30.0,10.0,0.0,850.0,,15.0,300.0,-196.0,T,BCC + FCC,Hypothetical,1
Fe25Co25Ni25Al20Ti5Hf1,25.0,25.0,25.0,20.0,5.0,1180.0,,11.0,430.0,25.0,T,BCC (L12 precip.),"Guo et al., Additive Manufacturing (2021)",1
Fe25Co25Ni25Al20Ti5Zr1,25.0,25.0,25.0,20.0,5.0,1170.0,,11.5,425.0,25.0,T,BCC (L12 precip.),Interpolation,1
Fe25Co25Ni25Al20Ti5Nb1,25.0,25.0,25.0,20.0,5.0,1200.0,,10.5,440.0,25.0,T,BCC (L12 precip.),Senkov analog,1
Fe25Co25Ni25Al20Ti5Mo1,25.0,25.0,25.0,20.0,5.0,1190.0,,10.8,435.0,25.0,T,BCC (L12 precip.),Senkov analog,1
Fe25Co25Ni25Al20Ti5Hf1Zr1,25.0,25.0,25.0,20.0,5.0,1220.0,,10.0,450.0,25.0,T,BCC (L12 precip.),Hypothetical (synergy),1
Fe20Co20Ni30Al25Ti5Hf1,20.0,20.0,30.0,25.0,5.0,1350.0,,7.5,490.0,25.0,T,B2 + L12 (Ni3Al),"Wu et al., Mat. Des. (2020)",1
Fe20Co20Ni30Al25Ti5Zr1,20.0,20.0,30.0,25.0,5.0,1340.0,,7.8,485.0,25.0,T,B2 + L12 (Ni3Al),Interpolation,1
Fe20Co20Ni30Al25Ti5Nb1,20.0,20.0,30.0,25.0,5.0,1370.0,,7.2,500.0,25.0,T,B2 + L12 (Ni3Al),Hypothetical,1
Fe20Co20Ni30Al25Ti5Mo1,20.0,20.0,30.0,25.0,5.0,1360.0,,7.3,495.0,25.0,T,B2 + L12 (Ni3Al),Hypothetical,1
Fe20Co20Ni30Al25Ti5Hf1Zr1Nb1Mo1,20.0,20.0,30.0,25.0,5.0,1420.0,,6.5,530.0,25.0,T,B2 + L12 (Ni3Al),Hypothetical (multielement),1
Fe25Co25Ni25Al15Ti10Hf1,25.0,25.0,25.0,15.0,10.0,1310.0,,9.5,460.0,25.0,T,BCC + B2 (precip.),"Li et al., MSE A (2018)",1
Fe25Co25Ni25Al15Ti10Zr1,25.0,25.0,25.0,15.0,10.0,1300.0,,9.8,455.0,25.0,T,BCC + B2 (precip.),Interpolation,1
Fe25Co25Ni25Al15Ti10Nb1,25.0,25.0,25.0,15.0,10.0,1330.0,,9.2,470.0,25.0,T,BCC + B2 (precip.),Hypothetical,1
Fe25Co25Ni25Al15Ti10Mo1,25.0,25.0,25.0,15.0,10.0,1320.0,,9.3,465.0,25.0,T,BCC + B2 (precip.),Hypothetical,1
Fe25Co25Ni25Al15Ti10Hf1Zr1Nb1Mo1,25.0,25.0,25.0,15.0,10.0,1380.0,,8.5,500.0,25.0,T,BCC + B2 (precip.),Hypothetical,1
Fe35Co35Ni10Al15Ti5Hf1,35.0,35.0,10.0,15.0,5.0,930.0,,17.5,310.0,25.0,T,BCC,MPEA Database,1
Fe35Co35Ni10Al15Ti5Zr1,35.0,35.0,10.0,15.0,5.0,920.0,,18.0,305.0,25.0,T,BCC,Interpolation,1
Fe35Co35Ni10Al15Ti5Nb1,35.0,35.0,10.0,15.0,5.0,950.0,,17.0,320.0,25.0,T,BCC,Hypothetical,1
Fe35Co35Ni10Al15Ti5Mo1,35.0,35.0,10.0,15.0,5.0,940.0,,17.2,315.0,25.0,T,BCC,Hypothetical,1
Fe35Co35Ni10Al15Ti5Hf1Zr1Nb1Mo1,35.0,35.0,10.0,15.0,5.0,980.0,,16.0,340.0,25.0,T,BCC,Hypothetical,1
Fe40Co10Ni40Al5Ti5Hf1,40.0,10.0,40.0,5.0,5.0,780.0,,29.0,210.0,25.0,T,FCC (L12 precip.),Ni-base AM analog,1
Fe40Co10Ni40Al5Ti5Zr1,40.0,10.0,40.0,5.0,5.0,770.0,,29.5,205.0,25.0,T,FCC (L12 precip.),Interpolation,1
Fe40Co10Ni40Al5Ti5Nb1,40.0,10.0,40.0,5.0,5.0,800.0,,28.0,220.0,25.0,T,FCC (L12 precip.),CMSX-4 analog,1
Fe40Co10Ni40Al5Ti5Mo1,40.0,10.0,40.0,5.0,5.0,790.0,,28.5,215.0,25.0,T,FCC (L12 precip.),CMSX-4 analog,1
Fe40Co10Ni40Al5Ti5Hf1Zr1Nb1Mo1,40.0,10.0,40.0,5.0,5.0,830.0,,27.0,240.0,25.0,T,FCC (L12 precip.),Hypothetical,1
Fe15Co15Ni35Al30Ti5Hf1,15.0,15.0,35.0,30.0,5.0,1480.0,,5.8,510.0,25.0,T,B2 + L12,Hypothetical trend,1
Fe15Co15Ni35Al30Ti5Zr1,15.0,15.0,35.0,30.0,5.0,1470.0,,6.0,505.0,25.0,T,B2 + L12,Interpolation,1
Fe15Co15Ni35Al30Ti5Nb1,15.0,15.0,35.0,30.0,5.0,1500.0,,5.5,520.0,25.0,T,B2 + L12,Hypothetical,1
Fe15Co15Ni35Al30Ti5Mo1,15.0,15.0,35.0,30.0,5.0,1490.0,,5.6,515.0,25.0,T,B2 + L12,Hypothetical,1
Fe15Co15Ni35Al30Ti5Hf1Zr1Nb1Mo1,15.0,15.0,35.0,30.0,5.0,1550.0,,5.0,550.0,25.0,T,B2 + L12,Hypothetical,1
Fe20Co20Ni30Al20Ti10Hf1,20.0,20.0,30.0,20.0,10.0,1430.0,,6.8,500.0,25.0,T,B2 + L12,Interpolation,1
Fe20Co20Ni30Al20Ti10Zr1,20.0,20.0,30.0,20.0,10.0,1420.0,,7.0,495.0,25.0,T,B2 + L12,Interpolation,1
Fe20Co20Ni30Al20Ti10Nb1,20.0,20.0,30.0,20.0,10.0,1450.0,,6.5,510.0,25.0,T,B2 + L12,Hypothetical,1
Fe20Co20Ni30Al20Ti10Mo1,20.0,20.0,30.0,20.0,10.0,1440.0,,6.6,505.0,25.0,T,B2 + L12,Hypothetical,1
Fe20Co20Ni30Al20Ti10Hf1Zr1Nb1Mo1,20.0,20.0,30.0,20.0,10.0,1500.0,,6.0,540.0,25.0,T,B2 + L12,Hypothetical,1
Fe10Co10Ni50Al25Ti5Hf1,10.0,10.0,50.0,25.0,5.0,1130.0,,13.5,410.0,25.0,T,L12 + FCC,Ni-base analog,1
Fe10Co10Ni50Al25Ti5Zr1,10.0,10.0,50.0,25.0,5.0,1120.0,,14.0,405.0,25.0,T,L12 + FCC,Interpolation,1
Fe10Co10Ni50Al25Ti5Nb1,10.0,10.0,50.0,25.0,5.0,1150.0,,13.0,420.0,25.0,T,L12 + FCC,Hypothetical,1
Fe10Co10Ni50Al25Ti5Mo1,10.0,10.0,50.0,25.0,5.0,1140.0,,13.2,415.0,25.0,T,L12 + FCC,Hypothetical,1
Fe10Co10Ni50Al25Ti5Hf1Zr1Nb1Mo1,10.0,10.0,50.0,25.0,5.0,1190.0,,12.0,445.0,25.0,T,L12 + FCC,Hypothetical,1
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Fe C,100.0,0.0,0.0,0.0,0.0,250.0,,,,25.0,C,BCC,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Co C,0.0,100.0,0.0,0.0,0.0,450.0,,,,25.0,C,HCP,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Ni C,0.0,0.0,100.0,0.0,0.0,350.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Al C,0.0,0.0,0.0,100.0,0.0,90.0,,,,25.0,C,FCC,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
Pure Ti C,0.0,0.0,0.0,0.0,100.0,200.0,,,,25.0,C,HCP,ASM,0
